timestamp,ax,ay,az,roll1,roll2,pitch,yaw1,yaw2,fx,fy,fz,gx,gy,gz,mx,my,mz,step
572218640,1258,165,-367,-0.94650203,-0.269047456,-0.152357364,0.417198479,-0.888787227,0,0,0,-155,232,-143,1125,-301,-73,2
572238640,1252,157,-377,-0.945953323,-0.272533882,-0.14949763,0.415235033,-0.890198085,0,0,0,-153,282,-157,1121,-293,-68,2
572258640,1250,155,-412,-0.944908354,-0.277657274,-0.146620316,0.413737986,-0.891393263,0,0,0,-131,347,-163,1123,-301,-35,2
572278640,1234,146,-444,-0.94346427,-0.284172373,-0.143405481,0.412302429,-0.892616915,0,0,0,-130,398,-176,1119,-303,-67,2
572298640,1212,132,-476,-0.941273872,-0.293106988,-0.139173174,0.410485502,-0.894034872,-11472,-2470,1918,-146,435,-178,1107,-307,-20,2
572318640,1224,104,-468,-0.939664928,-0.299940113,-0.135498583,0.408277625,-0.895657668,0,0,0,-169,404,-172,1123,-285,-23,2
572338640,1216,78,-459,-0.938156571,-0.306838954,-0.129954517,0.405977737,-0.897462614,-11292,-3068,2664,-180,377,-181,1103,-289,-16,2
572358640,1235,33,-449,-0.936953407,-0.313059762,-0.123178281,0.403870448,-0.899306143,-10942,-3594,3044,-179,368,-195,1109,-275,-10,2
572378640,1215,77,-445,-0.93593731,-0.317731608,-0.119377403,0.401847301,-0.900843624,0,0,0,-167,329,-175,1105,-287,-11,2
572398640,1240,42,-444,-0.934772512,-0.322760124,-0.11480123,0.40114004,-0.901755322,-10786,-3164,3458,-96,349,-149,1107,-257,-5,2
572418640,1304,-52,-459,-0.933737252,-0.327569909,-0.108453197,0.401262548,-0.902335115,-9722,-4524,3384,-65,356,-153,1095,-263,28,2
572438640,1282,-74,-452,-0.933103263,-0.331545794,-0.101838271,0.40075596,-0.903386906,-10048,-4668,3624,-91,317,-145,1091,-283,30,2
572458640,1292,-65,-415,-0.933064405,-0.333171286,-0.096631429,0.400704186,-0.9039697,-9882,-4342,4298,-56,256,-109,1089,-287,13,2
572478640,1314,-63,-376,-0.933548082,-0.333427258,-0.092100091,0.402107978,-0.903994242,-9532,-4158,4958,6,239,-111,1087,-275,37,2
572498640,1290,3,-391,-0.933382925,-0.334444897,-0.08921794,0.404913902,-0.90292082,-9924,-2958,4748,71,273,-131,1077,-271,51,2
572518640,1242,80,-400,-0.932315599,-0.337284664,-0.089447005,0.410146464,-0.900523558,-10678,-1658,4662,196,316,-142,1091,-259,65,2
572538640,1253,61,-449,-0.931111559,-0.340401232,-0.090128143,0.417968141,-0.896874713,-10462,-1988,3970,313,327,-160,1095,-273,49,2
572558640,1238,18,-448,-0.93029312,-0.342718462,-0.088902106,0.427339513,-0.892473437,-10670,-2696,4066,376,306,-187,1083,-283,41,2
572578640,1208,-10,-478,-0.928921819,-0.346971512,-0.087193364,0.436998378,-0.888059216,-11112,-3108,3700,391,355,-192,1079,-257,48,2
572598640,1222,-17,-512,-0.92713155,-0.35199281,-0.085613162,0.445754088,-0.883826721,-10836,-3170,3308,358,367,-171,1081,-277,39,2
572618640,1228,-64,-553,-0.925276626,-0.357241012,-0.083602601,0.452701492,-0.88048056,-10684,-3890,2802,294,345,-124,1085,-289,29,2
572638640,1214,-79,-596,-0.92272508,-0.364295976,-0.081660728,0.457654729,-0.878188431,-10832,-4074,2318,219,380,-82,1077,-301,56,2
572658640,1201,-46,-654,-0.919015232,-0.373371072,-0.081207979,0.461115161,-0.876308361,-10934,-3506,1666,172,437,-35,1079,-277,48,2
572678640,1182,-25,-695,-0.914795667,-0.383708663,-0.081115373,0.463434637,-0.875208646,-11108,-3152,1324,124,456,-19,1071,-275,64,2
572698640,1191,-7,-670,-0.910756547,-0.392835895,-0.081754505,0.464940358,-0.874261275,-10828,-2872,2054,95,442,7,1055,-289,51,2
572718640,1170,8,-655,-0.906583872,-0.402285948,-0.082530932,0.465567484,-0.873949656,-11020,-2648,2614,55,467,16,1041,-291,74,2
572738640,1172,34,-640,-0.902396848,-0.41127939,-0.083834946,0.466269962,-0.873467937,-10844,-2256,3168,58,477,14,1053,-303,48,2
572758640,1145,4,-592,-0.898447817,-0.419698039,-0.084261152,0.468369108,-0.872316934,-11134,-2776,4238,113,496,-18,1029,-299,66,2
572778640,1153,5,-602,-0.893832078,-0.429000685,-0.085304974,0.471859435,-0.870236406,-10854,-2792,4394,181,555,-26,1041,-291,68,2
572798640,1181,11,-616,-0.88883994,-0.438968692,-0.086767558,0.476327056,-0.867717894,-10236,-2740,4504,225,601,-37,1009,-305,71,2
572818640,1253,11,-614,-0.884047877,-0.447999552,-0.088628042,0.48115059,-0.864802012,-8912,-2802,4866,249,611,-29,1025,-317,88,2
572838640,1256,10,-553,-0.880080294,-0.455468629,-0.090494255,0.485759182,-0.862137811,-8708,-2882,6124,237,596,-21,1005,-307,113,2
572858640,1231,22,-511,-0.876419328,-0.461969674,-0.092791825,0.490182813,-0.859395005,-8976,-2758,7034,235,591,-13,985,-319,104,2
572878640,1274,13,-485,-0.873225231,-0.467516029,-0.09539351,0.494466987,-0.856730843,-8166,-2996,7666,236,592,12,973,-325,101,2
572898640,1308,45,-480,-0.869906617,-0.472865561,-0.098410975,0.498327242,-0.85406051,-7506,-2564,7938,215,611,15,977,-333,107,2
572918640,1302,70,-452,-0.867065873,-0.477265604,-0.10259469,0.502782846,-0.851048591,-7496,-2284,8548,253,597,25,959,-333,122,2
572938640,1331,92,-409,-0.864942582,-0.479935119,-0.107916694,0.508771611,-0.846847991,-6946,-2096,9358,330,576,18,939,-327,146,2
572958640,1341,94,-320,-0.864418667,-0.479476292,-0.113315945,0.516406339,-0.841410417,-6740,-2242,10820,398,523,-16,955,-337,158,2
572978640,1356,156,-265,-0.864916291,-0.476933116,-0.120615133,0.525361065,-0.834938759,-6500,-1450,11648,468,477,-19,945,-347,122,2
572998640,1383,201,-197,-0.866299767,-0.472168304,-0.130078168,0.536338113,-0.826686203,-6096,-1012,12620,583,449,-16,913,-367,124,2
573018640,1508,198,-133,-0.869390752,-0.463520372,-0.139769114,0.548860889,-0.816733623,-4182,-1396,13404,666,346,-18,913,-369,121,2
573038640,1566,20,103,-0.877470691,-0.445763977,-0.14786239,0.562821053,-0.805911044,-3452,-4620,16692,741,81,37,913,-401,100,2
573058640,2034,-132,-39,-0.879143771,-0.43883926,-0.158317469,0.571170984,-0.798012109,3732,-7278,13762,573,-52,87,893,-401,85,2
573078640,2032,358,349,-0.892472945,-0.406638045,-0.169954019,0.573684486,-0.793804416,3256,184,18924,337,-1240,264,893,-415,76,2
573098640,1903,379,1314,-0.922218783,-0.325849984,-0.186608274,0.565738758,-0.795892674,164,-28,31790,-66,-3453,662,907,-447,33,2
573118640,1195,847,-28,-0.934201423,-0.27310616,-0.211591084,0.555200744,-0.797208684,-11534,7050,8752,-279,-1900,555,915,-443,-44,2
573138640,1416,663,-37,-0.942867575,-0.212578835,-0.242378095,0.579664946,-0.770972788,-8280,2924,6596,1560,-1837,542,903,-487,-70,2
573158640,1806,-70,-391,-0.946018185,-0.172310324,-0.262765818,0.617435362,-0.734596292,-2134,-9638,-574,2212,-973,296,899,-481,-116,2
573178640,2219,-163,-995,-0.946441181,-0.155206934,-0.272198825,0.654530378,-0.698373238,4468,-11422,-10806,2106,28,-72,883,-519,-174,2
573198640,2132,8,-1226,-0.950172231,-0.131807299,-0.272039569,0.678887166,-0.675028982,2966,-8678,-15286,1323,-458,-302,855,-503,-246,2
573218640,1990,-1,-1084,-0.956037974,-0.097473139,-0.265869265,0.690919718,-0.665044907,500,-8628,-14136,564,-1131,-409,839,-515,-229,2
573238640,1753,55,-1061,-0.961214924,-0.060215468,-0.258256158,0.695253057,-0.663384829,-3464,-7492,-14990,113,-1374,-405,845,-515,-251,2
573258640,1663,161,-926,-0.965208134,-0.01795255,-0.249999058,0.694573836,-0.667197112,-5036,-5534,-14212,-177,-1655,-414,865,-511,-247,2
573278640,1552,237,-876,-0.965877825,0.026826199,-0.247086804,0.686434286,-0.676550129,-6840,-4226,-14874,-534,-1844,-203,859,-497,-266,2
573298640,1354,277,-725,-0.965122484,0.05743365,-0.246526755,0.673409052,-0.690484352,-9934,-3598,-13972,-643,-1937,-98,865,-515,-268,2
573318640,1129,114,-857,-0.964579366,0.080587877,-0.242486078,0.661145285,-0.703674333,-13480,-6142,-16984,-559,-1777,-168,863,-471,-280,2
573338640,992,-31,-879,-0.964443389,0.102407625,-0.234506182,0.64537115,-0.720563406,-15634,-8284,-18108,-744,-1841,-266,873,-467,-309,2
573358640,853,-36,-819,-0.963300234,0.123627167,-0.229207222,0.624668146,-0.740234811,-17802,-8188,-17878,-965,-1915,-210,879,-471,-273,2
573378640,769,80,-755,-0.956048504,0.165124357,-0.232276407,0.606596261,-0.753026821,-19064,-6272,-17458,-950,-1791,-88,911,-465,-268,2
573398640,755,169,-663,-0.948488504,0.20135675,-0.235568224,0.594323082,-0.761905799,-19016,-4948,-17196,-659,-1537,-66,923,-467,-276,2
573418640,812,154,-621,-0.941405712,0.231336903,-0.236797455,0.587548645,-0.766674031,-17868,-5226,-17508,-371,-1207,-108,935,-471,-299,2
573438640,777,154,-623,-0.935658854,0.254562607,-0.236095903,0.584087569,-0.769541994,-18236,-5200,-18306,-200,-887,-158,963,-451,-303,2
573458640,729,134,-583,-0.930744346,0.273349699,-0.234763951,0.581713201,-0.771743337,-18840,-5478,-18282,-143,-682,-171,965,-461,-304,2
573478640,649,212,-487,-0.925664993,0.28953301,-0.235681502,0.578031728,-0.774204452,-19956,-4258,-17276,-215,-591,-100,957,-457,-303,2
573498640,605,286,-368,-0.921136545,0.301671004,-0.238546817,0.572545925,-0.777479509,-20508,-3166,-15772,-311,-444,-49,967,-461,-306,2
573518640,642,245,-164,-0.916851722,0.311071001,-0.243136122,0.564579219,-0.78182018,-19778,-3968,-12816,-436,-358,-21,995,-455,-292,2
573538640,866,333,19,-0.912686605,0.318518512,-0.249511279,0.555508805,-0.786412055,-16054,-2764,-10134,-500,-296,30,993,-453,-307,2
573558640,1346,288,227,-0.906981019,0.329766763,-0.256099007,0.545524362,-0.791378472,-8122,-3736,-7332,-509,-693,88,995,-475,-310,2
573578640,1563,300,434,-0.896849085,0.350864729,-0.264146808,0.535687406,-0.795444051,-4338,-3834,-4632,-550,-1054,176,1001,-477,-297,2
573598640,1530,417,886,-0.882153388,0.376444487,-0.279054273,0.526451033,-0.796747701,-4440,-2356,1848,-576,-1167,348,1007,-477,-305,2
573618640,1579,338,1333,-0.866021462,0.402160104,-0.294462855,0.513985805,-0.799635608,-3128,-4106,8158,-730,-1258,294,1013,-469,-307,2
573638640,1431,355,1215,-0.854925148,0.419419747,-0.303373634,0.500645993,-0.804889673,-5130,-4110,5700,-703,-881,-2,1011,-491,-313,2
573658640,1637,509,1114,-0.854177104,0.41841965,-0.307126821,0.490987049,-0.809551064,-1798,-1762,4110,-487,43,-136,1023,-495,-307,2
573678640,1182,675,729,-0.854691401,0.411174886,-0.315902807,0.485211857,-0.809940906,-9174,746,-1746,-334,487,-15,1043,-477,-290,2
573698640,986,774,467,-0.860723011,0.391930578,-0.324151656,0.485610195,-0.806568833,-12522,2216,-5396,47,1055,-64,1027,-485,-307,2
573718644,-215,733,-536,-0.889982013,0.330538956,-0.311846215,0.481284354,-0.813591279,-32642,1662,-19378,-117,2969,-659,1023,-469,-259,2
573738644,1672,179,-493,-0.89796987,0.315817846,-0.303436035,0.502499206,-0.803749757,-2686,-6930,-18230,974,1166,-89,1037,-475,-260,2
573758644,2264,-254,613,-0.901199326,0.312933914,-0.296394624,0.511277199,-0.800761588,6690,-13634,-446,411,434,-235,1045,-495,-231,2
573778644,1599,-447,-768,-0.911378559,0.282398816,-0.295528741,0.501183258,-0.807379456,-4290,-16698,-21536,-486,1376,-270,1037,-475,-230,2
573798644,1164,314,-948,-0.927076383,0.236134229,-0.287336369,0.490605192,-0.817551885,-11562,-4230,-23650,-219,1135,-531,1035,-465,-210,2
