timestamp,ax,ay,az,roll1,roll2,pitch,yaw1,yaw2,fx,fy,fz,gx,gy,gz,mx,my,mz,step
387598164,1241,138,-423,-0.910164403,-0.401681798,-0.028503291,0.764147915,0.642540481,0,0,0,156,-60,34,975,99,-426,1
387618164,1270,122,-401,-0.911706207,-0.398181701,-0.029172805,0.764574962,0.642004263,0,0,0,136,-100,38,987,103,-394,1
387638164,1305,104,-379,-0.913806945,-0.393213544,-0.029343591,0.76558738,0.640758103,0,0,0,94,-158,43,991,91,-411,1
387658164,1303,106,-342,-0.917657474,-0.384263331,-0.030243544,0.767518714,0.63840656,-9172,750,7246,37,-217,57,975,99,-435,1
387678164,1306,153,-322,-0.921836887,-0.374015309,-0.032333468,0.769835537,0.635488121,-9262,1468,7232,12,-267,74,977,101,-431,1
387698164,1335,169,-277,-0.926753692,-0.361609343,-0.035252925,0.772202276,0.632454347,-8954,1636,7568,16,-335,95,979,103,-437,1
387718168,1376,177,-227,-0.932337863,-0.346811328,-0.038967955,0.775064541,0.628720826,-8474,1642,7908,-7,-405,139,989,83,-433,1
387738168,1362,145,-133,-0.939512569,-0.326615224,-0.042273093,0.778296348,0.624470083,-8924,998,8794,-33,-579,155,975,95,-459,1
387758168,1388,136,-64,-0.948045997,-0.300847838,-0.044946572,0.782084057,0.619505173,-8788,758,9078,-76,-787,150,967,75,-463,1
387778168,1486,188,-51,-0.95650303,-0.272396827,-0.048054448,0.786344361,0.613796761,-7512,1512,8344,-117,-913,142,991,79,-471,1
387798168,1581,306,-55,-0.963724205,-0.244926536,-0.053471987,0.790545195,0.607897367,-6246,3282,7352,-119,-903,156,983,83,-494,1
387818168,1655,349,-29,-0.969507495,-0.219162578,-0.060617948,0.794390853,0.602118842,-5260,3744,6914,-99,-834,203,973,59,-513,1
387838168,1530,139,-12,-0.974669263,-0.194218457,-0.065092088,0.797706673,0.597253842,-7428,118,6354,-50,-815,224,979,75,-530,1
387858168,1626,-34,-89,-0.980351547,-0.163047273,-0.066813788,0.800880658,0.592771022,-6092,-2820,4032,-32,-1158,243,983,69,-520,1
387878168,1411,96,-162,-0.985410377,-0.127669254,-0.070788083,0.807693914,0.58291783,-9728,-782,1610,-296,-1468,257,989,61,-580,1
387898168,1072,327,27,-0.988769842,-0.091604674,-0.081763791,0.823082181,0.559401458,-15270,2764,3562,-958,-1411,343,985,59,-586,1
387918168,1118,420,-382,-0.988309555,-0.089726048,-0.088850439,0.835120551,0.540009452,-14546,4056,-3384,-737,-407,91,959,57,-586,1
387938168,1219,563,-316,-0.988503683,-0.078972239,-0.097314661,0.839189637,0.532170799,-12930,6136,-2620,-176,-648,10,975,31,-596,1
387958168,1131,371,-236,-0.989485934,-0.065035019,-0.097661632,0.842898607,0.526136499,-14364,2948,-1768,-128,-743,-197,959,61,-597,1
387978168,1075,227,-388,-0.989917031,-0.064856211,-0.09447795,0.843155507,0.526397608,-15264,642,-4354,185,-331,-235,949,45,-620,1
387998168,1105,109,-415,-0.989921782,-0.070501998,-0.090792587,0.840774532,0.530914223,-14778,-1222,-4612,391,-84,-145,963,39,-666,1
388018168,1134,63,-407,-0.989591457,-0.078141481,-0.087878528,0.839968095,0.532691417,-14304,-1898,-4210,264,12,-62,957,57,-636,1
388038168,1160,-4,-307,-0.989394352,-0.083134387,-0.083913741,0.843029156,0.528354015,-13874,-2896,-2356,-43,-8,-13,953,31,-616,1
388058168,1189,0,-153,-0.989559058,-0.084272722,-0.079644534,0.850206662,0.517252659,-13404,-2684,274,-378,-37,-5,947,45,-627,1
388078168,1164,165,-9,-0.989789994,-0.082490776,-0.079543195,0.859110827,0.50230041,-13810,98,2630,-552,-30,9,951,41,-647,1
388098168,1140,256,100,-0.989947975,-0.078172714,-0.081388556,0.866386756,0.489197582,-14202,1568,4324,-469,-12,-14,951,43,-642,1
388118168,1137,273,159,-0.990122437,-0.074899497,-0.082669337,0.871122859,0.480449997,-14250,1814,5200,-270,97,-75,959,43,-622,1
388138168,1180,348,150,-0.990218148,-0.071876317,-0.084374315,0.874393042,0.474133395,-13572,3002,4942,-158,96,-126,949,57,-615,1
388158168,1231,354,116,-0.990626048,-0.065372117,-0.085254285,0.877346843,0.468456572,-12772,3066,4148,-127,-90,-155,949,51,-626,1
388178168,1246,367,66,-0.991284605,-0.054674853,-0.084972078,0.879060511,0.46520726,-12560,3288,2950,-12,-310,-219,957,57,-607,1
388198168,1283,356,224,-0.99248605,-0.032114813,-0.08377838,0.880738568,0.462258123,-12004,3134,4828,-5,-683,-239,951,49,-631,1
388218168,1129,309,-49,-0.993167013,-0.02306027,-0.078435903,0.883754209,0.457333021,-14500,2560,-44,-86,-397,-411,957,63,-651,1
388238168,1230,368,-358,-0.993118471,-0.0420059,-0.070849518,0.878908301,0.467937287,-12890,3772,-4574,638,536,-552,975,75,-645,1
388258168,1558,367,-128,-0.993091092,-0.049783267,-0.064794114,0.868010923,0.488781594,-7636,3912,-440,1093,355,-468,977,67,-663,1
388278168,1593,115,170,-0.993904928,-0.044780696,-0.054932852,0.86229001,0.500027861,-7078,58,4338,640,25,-421,971,75,-665,1
388298168,1598,54,178,-0.994137358,-0.047701839,-0.047832678,0.862456234,0.500483764,-7002,-716,4566,153,324,-247,953,87,-643,1
388318168,1457,182,36,-0.993268529,-0.064166043,-0.045711921,0.864275107,0.497528886,-9238,1492,2766,7,783,-148,959,99,-653,1
388338168,1335,2,-190,-0.991779521,-0.086384112,-0.040545129,0.865346059,0.496147459,-11146,-1306,-226,80,893,-164,943,111,-647,1
388358168,1270,-227,-312,-0.989877589,-0.108303178,-0.029406453,0.867378794,0.49329355,-12130,-4790,-1566,8,746,-171,975,123,-616,1
388378168,1271,-186,-405,-0.987348022,-0.131124781,-0.018621588,0.872079419,0.485460622,-12042,-3740,-2354,-228,721,-177,969,121,-625,1
388398168,1258,55,-354,-0.984545663,-0.150800886,-0.012882328,0.879520491,0.471927462,-12158,488,-838,-494,660,-153,983,121,-588,1
388418168,1355,144,-265,-0.982165674,-0.165322544,-0.009962073,0.886238365,0.459136676,-10516,2070,1158,-454,576,-111,989,109,-603,1
388438168,1331,159,-258,-0.979343917,-0.181244651,-0.007976795,0.891029421,0.449765943,-10802,2388,1802,-294,655,-107,993,117,-605,1
388458168,1424,79,-66,-0.977634624,-0.190077463,-0.005772509,0.89456068,0.442661902,-9228,1126,5314,-185,555,-64,977,121,-567,1
